index,Zip_Code,lat,lng,population,median_household_income,median_home_value,Less Than High School,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Addison,75001,32.96,-96.84,12414,57633.0,258200.0,0.09210262577670876,0.36630587292042494,0.03818400481058328,0.33253156945279616,0.14421727801162554,0.023251152535578273,0.0034074964922830232,Grocery Store,Fast Food Restaurant,Park,Burger Joint,American Restaurant,Greek Restaurant,Pizza Place,Gym,Sushi Restaurant,Bakery
West Allen,75002,33.08,-96.61,63140,91632.0,186100.0,0.05242489691733752,0.4162821519732967,0.08504319654427646,0.3109660318083644,0.10929216571765167,0.015339681916355782,0.010651875122717456,Mexican Restaurant,Coffee Shop,Grocery Store,Fast Food Restaurant,American Restaurant,Supermarket,Golf Course,Pizza Place,Park,Movie Theater
Central Carrolton,75006,32.95,-96.89,46364,56985.0,146800.0,0.2529457464715784,0.3838210539945617,0.06606888514825845,0.20908325780137246,0.07529457464715784,0.010196814709309854,0.0025896672277612325,Fast Food Restaurant,Mexican Restaurant,Grocery Store,Park,Liquor Store,Coffee Shop,Trail,Pizza Place,Salad Place,BBQ Joint
North Carrollton,75007,33.0,-96.9,51624,78934.0,169400.0,0.10115816667150446,0.4261124495660503,0.0815651214768802,0.2883805985312473,0.07587588168703377,0.014832660880671096,0.01207512118661287,Grocery Store,Fast Food Restaurant,Mexican Restaurant,American Restaurant,Park,Pizza Place,Ice Cream Shop,Liquor Store,Brewery,Supermarket
Celina,75009,33.3,-96.8,8785,87581.0,190500.0,0.07374890254609306,0.5251975417032485,0.1067603160667252,0.2159789288849868,0.06900790166812994,0.006145741878841089,0.0031606672519754173,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Hardware Store,Taco Place,Burger Joint,Park,Coffee Shop,Supermarket,Sandwich Place
Far North Carrollton,75010,33.03,-96.9,21607,75696.0,200800.0,0.0537907929023452,0.4183521528725648,0.09163667948877033,0.3229929271621789,0.08667328452661621,0.01699962774537784,0.009554535302146668,Ice Cream Shop,Fast Food Restaurant,Pizza Place,Brewery,Mexican Restaurant,Grocery Store,Park,Liquor Store,Bakery,Golf Course
East Allen,75013,33.12,-96.69,30347,131878.0,292300.0,0.02589112450209376,0.23235624553161066,0.0662342968031866,0.4121642324583801,0.19849862118271885,0.03707486467163722,0.02778061485037279,Fast Food Restaurant,Grocery Store,Pizza Place,Coffee Shop,Ice Cream Shop,Golf Course,BBQ Joint,Movie Theater,Bakery,Mexican Restaurant
Coppell,75019,32.96,-96.98,38666,110445.0,281500.0,0.0367211561241412,0.2724472873726605,0.06143883755824054,0.3812682618652768,0.18865987522703945,0.04189370607281055,0.017570875779831,Fast Food Restaurant,Park,Mexican Restaurant,Ice Cream Shop,American Restaurant,Coffee Shop,Trail,Supermarket,Grocery Store,Steakhouse
West Flower Mound,75022,33.03,-97.12,22545,145938.0,333700.0,0.02969086987778577,0.2514018691588785,0.07634795111430626,0.4349388928828181,0.1695902228612509,0.02415528396836808,0.01387491013659238,Mexican Restaurant,Ice Cream Shop,American Restaurant,Coffee Shop,Pharmacy,Grocery Store,Pizza Place,Golf Course,Supermarket,Fast Food Restaurant
"(Quail Creek, Cross Bend) - Plano",75023,33.05,-96.73,45452,74777.0,173900.0,0.05509868421052632,0.3914473684210527,0.07303264170040485,0.324455971659919,0.12288081983805668,0.017965587044534412,0.015118927125506072,Grocery Store,Coffee Shop,Ice Cream Shop,Mexican Restaurant,American Restaurant,Burger Joint,Taco Place,Pizza Place,Wine Shop,Italian Restaurant
