Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Downtown, Midtown",29.75,-95.37,"Spec's Wines, Spirits & Finer Foods",29.748694497268623,-95.37694865555139,Liquor Store
"Downtown, Midtown",29.75,-95.37,Phoenicia Specialty Foods,29.754502385638137,-95.3617598578482,Market
"Downtown, Midtown",29.75,-95.37,"Spec's Wines, Spirits & Finer Foods",29.744247888820528,-95.39222463224766,Liquor Store
"Downtown, Midtown",29.75,-95.37,Whole Foods Market,29.75799411457671,-95.39764273104588,Grocery Store
"Downtown, Midtown",29.75,-95.37,H-E-B,29.7379131,-95.4026184,Grocery Store
"Downtown, Midtown",29.75,-95.37,Sprouts Farmers Market,29.7746374,-95.4002306,Grocery Store
"Downtown, Midtown",29.75,-95.37,Premium Draught,29.785078174746292,-95.38786487992098,Beer Store
"Downtown, Midtown",29.75,-95.37,Trader Joe's,29.739137321386455,-95.41136096166395,Grocery Store
"Downtown, Midtown",29.75,-95.37,D & Q - The Beer Station,29.734773715943625,-95.38910639446627,Beer Store
"Downtown, Midtown",29.75,-95.37,Smoothie King,29.744462,-95.390984,Smoothie Shop
"Downtown, Midtown",29.75,-95.37,Whole Foods Market,29.744379,-95.381412,Grocery Store
"Downtown, Midtown",29.75,-95.37,Buchanan's Native Plants,29.791149286134544,-95.39176072335081,Flower Shop
"Downtown, Midtown",29.75,-95.37,Smoothie King,29.775785,-95.382698,Smoothie Shop
"Downtown, Midtown",29.75,-95.37,Texas Mattress Makers,29.752096010409602,-95.3237248121643,Mattress Store
"Downtown, Midtown",29.75,-95.37,Kirbside Bar,29.73915182491743,-95.41818404559953,Grocery Store
"Downtown, Midtown",29.75,-95.37,PetSmart,29.739527,-95.411243,Pet Store
"Downtown, Midtown",29.75,-95.37,H-E-B,29.7267244,-95.4271793,Grocery Store
"Downtown, Midtown",29.75,-95.37,Central Market,29.7410098,-95.44379,Gourmet Shop
"Downtown, Midtown",29.75,-95.37,Pepper Twins,29.75267404,-95.40339739,Health Food Store
"Downtown, Midtown",29.75,-95.37,HEB MacGregor Market,29.713732,-95.377456,Grocery Store
"Downtown, Midtown",29.75,-95.37,Costco,29.733971115841793,-95.43964074339954,Warehouse Store
"Downtown, Midtown",29.75,-95.37,Highland Village,29.7416493273977,-95.44676971193074,Shopping Mall
"Downtown, Midtown",29.75,-95.37,River Oaks District,29.74278708403033,-95.453509579883,Shopping Mall
"Downtown, Midtown",29.75,-95.37,Target,29.77467685280716,-95.38498275102646,Big Box Store
"Downtown, Midtown",29.75,-95.37,Total Wine & More,29.7053679,-95.4198345,Wine Shop
"Downtown, Midtown",29.75,-95.37,Whole Foods Market,29.70683332400925,-95.44169206646067,Grocery Store
"Downtown, Midtown",29.75,-95.37,The Heights H-E-B,29.8070977,-95.4092752,Grocery Store
"Downtown, Midtown",29.75,-95.37,Academy Sports + Outdoors,29.7323123,-95.4157543,Sporting Goods Shop
"Downtown, Midtown",29.75,-95.37,Whole Foods Market,29.749479791687545,-95.46163506664445,Grocery Store
"Downtown, Midtown",29.75,-95.37,Total Wine & More,29.751325699382097,-95.46231890674585,Wine Shop
"Downtown, Midtown",29.75,-95.37,Target,29.692844991400705,-95.41843855877896,Big Box Store
"Downtown, Midtown",29.75,-95.37,Randalls,29.7488304,-95.3747111,Supermarket
"Downtown, Midtown",29.75,-95.37,The Container Store,29.741415225598274,-95.46005247032731,Furniture / Home Store
"Downtown, Midtown",29.75,-95.37,The Galleria,29.7368358,-95.4636925,Shopping Mall
"Downtown, Midtown",29.75,-95.37,Kroger,29.7274415,-95.4305636,Supermarket
"Downtown, Midtown",29.75,-95.37,Kroger,29.7736237,-95.3899761,Supermarket
"Downtown, Midtown",29.75,-95.37,"Spec's Wines, Spirits & Finer Foods",29.7227454885471,-95.4401333159328,Liquor Store
"Downtown, Midtown",29.75,-95.37,Walgreens,29.7232028,-95.3793189,Pharmacy
"Downtown, Midtown",29.75,-95.37,CVS pharmacy,29.75152990058736,-95.37637780741177,Pharmacy
"Downtown, Midtown",29.75,-95.37,H-E-B,29.7479856,-95.4850284,Grocery Store
"Downtown, Midtown",29.75,-95.37,Target,29.74507658164775,-95.45362958238226,Big Box Store
"Downtown, Midtown",29.75,-95.37,Walgreens,29.7410742,-95.4406324,Pharmacy
"Downtown, Midtown",29.75,-95.37,Walgreens,29.7409721,-95.4677254,Pharmacy
"Downtown, Midtown",29.75,-95.37,Micro Center,29.724975553127997,-95.46689928963602,Electronics Store
"Downtown, Midtown",29.75,-95.37,Chocolat zeina,29.738490850482208,-95.49033461045305,Chocolate Shop
"Downtown, Midtown",29.75,-95.37,"Spec's Wines, Spirits & Finer Foods",29.732484758031248,-95.46428225016463,Liquor Store
"Downtown, Midtown",29.75,-95.37,Stogies,29.738751095122883,-95.48979045703787,Smoke Shop
"Downtown, Midtown",29.75,-95.37,PetSmart,29.7239084,-95.4593838,Pet Store
"Downtown, Midtown",29.75,-95.37,Kroger,29.754123111789752,-95.40543706747485,Supermarket
"Downtown, Midtown",29.75,-95.37,Bedrock City Comic Co.,29.738429130167564,-95.49966111103411,Comic Shop
"Downtown, Midtown",29.75,-95.37,CVS pharmacy,29.729950011163236,-95.41909864816579,Pharmacy
"Downtown, Midtown",29.75,-95.37,"Spec's Wines, Spirits & Finer Foods",29.78516934659421,-95.49411949289518,Liquor Store
"Downtown, Midtown",29.75,-95.37,Walgreens,29.803672324094446,-95.39989292621613,Pharmacy
"Downtown, Midtown",29.75,-95.37,Kroger,29.695869,-95.415516,Supermarket
"Downtown, Midtown",29.75,-95.37,Rice Epicurean,29.746557109400666,-95.48589879169144,Fruit & Vegetable Store
"Downtown, Midtown",29.75,-95.37,Walgreens,29.742854063730295,-95.39039120078087,Pharmacy
"Downtown, Midtown",29.75,-95.37,PETCO,29.746612383543432,-95.41084381511897,Pet Store
"Downtown, Midtown",29.75,-95.37,Trader Joe's,29.75262739583288,-95.50144920293054,Grocery Store
"Downtown, Midtown",29.75,-95.37,The UPS Store,29.802465623626425,-95.40543638546296,Shipping Store
"Downtown, Midtown",29.75,-95.37,Whole Foods Market,29.752211956945917,-95.5002600692758,Grocery Store
"Downtown, Midtown",29.75,-95.37,Buffalo Heights H-E-B,29.769018225991914,-95.39657534418029,Grocery Store
"Downtown, Midtown",29.75,-95.37,"Spec's Wines, Spirits & Finer Foods",29.738083222098417,-95.51041953766054,Liquor Store
"Downtown, Midtown",29.75,-95.37,Meyerland Plaza,29.68781133559464,-95.46093611001596,Shopping Mall
"Downtown, Midtown",29.75,-95.37,Fiesta Mart,29.690640703345146,-95.41476688911051,Grocery Store
"Downtown, Midtown",29.75,-95.37,Whole Foods Market 365,29.81367916321041,-95.39832836374156,Grocery Store
"Downtown, Midtown",29.75,-95.37,Walgreens,29.750449730198486,-95.49663081765169,Pharmacy
"Downtown, Midtown",29.75,-95.37,Randalls,29.7488787,-95.4658379,Supermarket
"Downtown, Midtown",29.75,-95.37,The Vitamin Shoppe,29.7371869,-95.5012751,Supplement Shop
"Downtown, Midtown",29.75,-95.37,Al-Ameen Halal Meat,29.685192954261364,-95.39125016208939,Grocery Store
"Downtown, Midtown",29.75,-95.37,PetSmart,29.689347,-95.4135854,Pet Store
"Downtown, Midtown",29.75,-95.37,Kroger,29.7429498,-95.3920988,Supermarket
"Downtown, Midtown",29.75,-95.37,Kroger,29.7482323,-95.500197,Supermarket
"Downtown, Midtown",29.75,-95.37,Legacy Pharmacy,29.74495533351506,-95.39403541023603,Pharmacy
"Downtown, Midtown",29.75,-95.37,Macy's,29.737893463506403,-95.46436099175105,Department Store
"Downtown, Midtown",29.75,-95.37,Super H Mart,29.79232357986547,-95.52111143558255,Supermarket
"Downtown, Midtown",29.75,-95.37,99 Ranch Market,29.785290749203405,-95.52282601930271,Food & Drink Shop
"Downtown, Midtown",29.75,-95.37,Fish Gallery,29.73518178548169,-95.48411932629477,Pet Store
"Downtown, Midtown",29.75,-95.37,Mi Tienda,29.869838237102282,-95.33241391181946,Grocery Store
"Downtown, Midtown",29.75,-95.37,Costco,29.78785797483925,-95.52988734348452,Warehouse Store
"Downtown, Midtown",29.75,-95.37,CVS pharmacy,29.733914464313486,-95.39135798975319,Pharmacy
"Downtown, Midtown",29.75,-95.37,Marshalls,29.7428056800702,-95.46144448298116,Department Store
"Downtown, Midtown",29.75,-95.37,Sam's Club,29.72419938926226,-95.47079795175348,Warehouse Store
"Downtown, Midtown",29.75,-95.37,Michaels,29.7398241754355,-95.50261214375496,Arts & Crafts Store
"Downtown, Midtown",29.75,-95.37,Target,29.735120688291364,-95.5174901003278,Big Box Store
"Downtown, Midtown",29.75,-95.37,H-E-B,29.7076528,-95.4698099,Grocery Store
"Downtown, Midtown",29.75,-95.37,CVS pharmacy,29.74058424862417,-95.45759534402666,Pharmacy
"Downtown, Midtown",29.75,-95.37,CVS pharmacy,29.80369203320475,-95.39870068146931,Pharmacy
"Downtown, Midtown",29.75,-95.37,Walgreens,29.7144789,-95.295355,Pharmacy
"Downtown, Midtown",29.75,-95.37,H-E-B,29.6886245,-95.4642329,Grocery Store
"Downtown, Midtown",29.75,-95.37,Academy Sports + Outdoors,29.739931306021663,-95.50377488136292,Sporting Goods Shop
"Downtown, Midtown",29.75,-95.37,Kroger,29.78932260971469,-95.41113406419754,Supermarket
"Downtown, Midtown",29.75,-95.37,Kroger,29.7961848,-95.4857755,Supermarket
"Downtown, Midtown",29.75,-95.37,FedEx Office Print & Ship Center,29.7384521,-95.4747551,Shipping Store
"Downtown, Midtown",29.75,-95.37,Walmart Pharmacy,29.772815,-95.401336,Pharmacy
"Downtown, Midtown",29.75,-95.37,Michaels,29.72311121003342,-95.44004521413626,Arts & Crafts Store
"Downtown, Midtown",29.75,-95.37,Corner Store,29.749525,-95.497118,Convenience Store
"Downtown, Midtown",29.75,-95.37,Walmart Supercenter,29.72310341009565,-95.46533072207033,Big Box Store
"Downtown, Midtown",29.75,-95.37,Dollar Tree,29.73959927383527,-95.50300075500193,Discount Store
"Downtown, Midtown",29.75,-95.37,CVS pharmacy,29.694490276123894,-95.41501915347386,Pharmacy
"Downtown, Midtown",29.75,-95.37,Restaurant Depot,29.803412396449207,-95.42522723915876,Kitchen Supply Store
East Downtown,29.75,-95.35,Phoenicia Specialty Foods,29.754502385638137,-95.3617598578482,Market
East Downtown,29.75,-95.35,"Spec's Wines, Spirits & Finer Foods",29.748694497268623,-95.37694865555139,Liquor Store
East Downtown,29.75,-95.35,Texas Mattress Makers,29.752096010409602,-95.3237248121643,Mattress Store
East Downtown,29.75,-95.35,"Spec's Wines, Spirits & Finer Foods",29.744247888820528,-95.39222463224766,Liquor Store
East Downtown,29.75,-95.35,Whole Foods Market,29.75799411457671,-95.39764273104588,Grocery Store
East Downtown,29.75,-95.35,Premium Draught,29.785078174746292,-95.38786487992098,Beer Store
East Downtown,29.75,-95.35,H-E-B,29.7379131,-95.4026184,Grocery Store
East Downtown,29.75,-95.35,Sprouts Farmers Market,29.7746374,-95.4002306,Grocery Store
East Downtown,29.75,-95.35,Buchanan's Native Plants,29.791149286134544,-95.39176072335081,Flower Shop
East Downtown,29.75,-95.35,D & Q - The Beer Station,29.734773715943625,-95.38910639446627,Beer Store
East Downtown,29.75,-95.35,Trader Joe's,29.739137321386455,-95.41136096166395,Grocery Store
East Downtown,29.75,-95.35,Smoothie King,29.775785,-95.382698,Smoothie Shop
East Downtown,29.75,-95.35,Smoothie King,29.744462,-95.390984,Smoothie Shop
East Downtown,29.75,-95.35,Whole Foods Market,29.744379,-95.381412,Grocery Store
East Downtown,29.75,-95.35,Kirbside Bar,29.73915182491743,-95.41818404559953,Grocery Store
East Downtown,29.75,-95.35,Manready Mercantile,29.803043048215088,-95.40226318352558,Men's Store
East Downtown,29.75,-95.35,HEB MacGregor Market,29.713732,-95.377456,Grocery Store
East Downtown,29.75,-95.35,PetSmart,29.739527,-95.411243,Pet Store
East Downtown,29.75,-95.35,H-E-B,29.7267244,-95.4271793,Grocery Store
East Downtown,29.75,-95.35,Central Market,29.7410098,-95.44379,Gourmet Shop
East Downtown,29.75,-95.35,Pepper Twins,29.75267404,-95.40339739,Health Food Store
East Downtown,29.75,-95.35,Rice Village,29.715884923510725,-95.41690263076377,Shopping Mall
East Downtown,29.75,-95.35,Target,29.77467685280716,-95.38498275102646,Big Box Store
East Downtown,29.75,-95.35,Costco,29.733971115841793,-95.43964074339954,Warehouse Store
East Downtown,29.75,-95.35,Highland Village,29.7416493273977,-95.44676971193074,Shopping Mall
East Downtown,29.75,-95.35,River Oaks District,29.74278708403033,-95.453509579883,Shopping Mall
East Downtown,29.75,-95.35,The Heights H-E-B,29.8070977,-95.4092752,Grocery Store
East Downtown,29.75,-95.35,Total Wine & More,29.7053679,-95.4198345,Wine Shop
East Downtown,29.75,-95.35,Target,29.692844991400705,-95.41843855877896,Big Box Store
East Downtown,29.75,-95.35,Whole Foods Market,29.70683332400925,-95.44169206646067,Grocery Store
East Downtown,29.75,-95.35,PetSmart,29.7741444,-95.3831729,Pet Store
East Downtown,29.75,-95.35,Academy Sports + Outdoors,29.7323123,-95.4157543,Sporting Goods Shop
East Downtown,29.75,-95.35,Whole Foods Market,29.749479791687545,-95.46163506664445,Grocery Store
East Downtown,29.75,-95.35,Total Wine & More,29.751325699382097,-95.46231890674585,Wine Shop
East Downtown,29.75,-95.35,Kroger,29.7736237,-95.3899761,Supermarket
East Downtown,29.75,-95.35,Randalls,29.7488304,-95.3747111,Supermarket
East Downtown,29.75,-95.35,The Container Store,29.741415225598274,-95.46005247032731,Furniture / Home Store
East Downtown,29.75,-95.35,Walgreens,29.7232028,-95.3793189,Pharmacy
East Downtown,29.75,-95.35,Kroger,29.7274415,-95.4305636,Supermarket
East Downtown,29.75,-95.35,The Galleria,29.7368358,-95.4636925,Shopping Mall
East Downtown,29.75,-95.35,"Spec's Wines, Spirits & Finer Foods",29.7227454885471,-95.4401333159328,Liquor Store
East Downtown,29.75,-95.35,Whole Foods,29.738895,-95.418173,Grocery Store
East Downtown,29.75,-95.35,CVS pharmacy,29.75152990058736,-95.37637780741177,Pharmacy
East Downtown,29.75,-95.35,H-E-B,29.7479856,-95.4850284,Grocery Store
East Downtown,29.75,-95.35,Target,29.74507658164775,-95.45362958238226,Big Box Store
East Downtown,29.75,-95.35,Walgreens,29.7410742,-95.4406324,Pharmacy
East Downtown,29.75,-95.35,Walgreens,29.7409721,-95.4677254,Pharmacy
East Downtown,29.75,-95.35,Micro Center,29.724975553127997,-95.46689928963602,Electronics Store
East Downtown,29.75,-95.35,Chocolat zeina,29.738490850482208,-95.49033461045305,Chocolate Shop
East Downtown,29.75,-95.35,"Spec's Wines, Spirits & Finer Foods",29.732484758031248,-95.46428225016463,Liquor Store
East Downtown,29.75,-95.35,Walgreens,29.803672324094446,-95.39989292621613,Pharmacy
East Downtown,29.75,-95.35,Stogies,29.738751095122883,-95.48979045703787,Smoke Shop
East Downtown,29.75,-95.35,PetSmart,29.7239084,-95.4593838,Pet Store
East Downtown,29.75,-95.35,Kroger,29.695869,-95.415516,Supermarket
East Downtown,29.75,-95.35,Kroger,29.754123111789752,-95.40543706747485,Supermarket
East Downtown,29.75,-95.35,Bedrock City Comic Co.,29.738429130167564,-95.49966111103411,Comic Shop
East Downtown,29.75,-95.35,CVS pharmacy,29.729950011163236,-95.41909864816579,Pharmacy
East Downtown,29.75,-95.35,The UPS Store,29.802465623626425,-95.40543638546296,Shipping Store
East Downtown,29.75,-95.35,"Spec's Wines, Spirits & Finer Foods",29.78516934659421,-95.49411949289518,Liquor Store
East Downtown,29.75,-95.35,Whole Foods Market 365,29.81367916321041,-95.39832836374156,Grocery Store
East Downtown,29.75,-95.35,Walgreens,29.742854063730295,-95.39039120078087,Pharmacy
East Downtown,29.75,-95.35,Rice Epicurean,29.746557109400666,-95.48589879169144,Fruit & Vegetable Store
East Downtown,29.75,-95.35,Fiesta Mart,29.690640703345146,-95.41476688911051,Grocery Store
East Downtown,29.75,-95.35,PETCO,29.746612383543432,-95.41084381511897,Pet Store
East Downtown,29.75,-95.35,Trader Joe's,29.75262739583288,-95.50144920293054,Grocery Store
East Downtown,29.75,-95.35,Buffalo Heights H-E-B,29.769018225991914,-95.39657534418029,Grocery Store
East Downtown,29.75,-95.35,Meyerland Plaza,29.68781133559464,-95.46093611001596,Shopping Mall
East Downtown,29.75,-95.35,Al-Ameen Halal Meat,29.685192954261364,-95.39125016208939,Grocery Store
East Downtown,29.75,-95.35,Whole Foods Market,29.752211956945917,-95.5002600692758,Grocery Store
East Downtown,29.75,-95.35,Walgreens,29.7144789,-95.295355,Pharmacy
East Downtown,29.75,-95.35,Mi Tienda,29.869838237102282,-95.33241391181946,Grocery Store
East Downtown,29.75,-95.35,"Spec's Wines, Spirits & Finer Foods",29.738083222098417,-95.51041953766054,Liquor Store
East Downtown,29.75,-95.35,European Wax Center,29.828910963742754,-95.43072542042579,Health & Beauty Service
East Downtown,29.75,-95.35,PetSmart,29.689347,-95.4135854,Pet Store
East Downtown,29.75,-95.35,Walgreens,29.750449730198486,-95.49663081765169,Pharmacy
East Downtown,29.75,-95.35,DICK'S Sporting Goods,29.743868991229565,-95.46024316598555,Sporting Goods Shop
East Downtown,29.75,-95.35,Randalls,29.7488787,-95.4658379,Supermarket
East Downtown,29.75,-95.35,The Vitamin Shoppe,29.7371869,-95.5012751,Supplement Shop
East Downtown,29.75,-95.35,Kroger,29.7429498,-95.3920988,Supermarket
East Downtown,29.75,-95.35,Kroger,29.7482323,-95.500197,Supermarket
East Downtown,29.75,-95.35,Legacy Pharmacy,29.74495533351506,-95.39403541023603,Pharmacy
East Downtown,29.75,-95.35,Macy's,29.737893463506403,-95.46436099175105,Department Store
East Downtown,29.75,-95.35,Fish Gallery,29.73518178548169,-95.48411932629477,Pet Store
East Downtown,29.75,-95.35,CVS pharmacy,29.733914464313486,-95.39135798975319,Pharmacy
East Downtown,29.75,-95.35,CVS pharmacy,29.80369203320475,-95.39870068146931,Pharmacy
East Downtown,29.75,-95.35,Walgreens,29.768195807272175,-95.23334920406342,Pharmacy
East Downtown,29.75,-95.35,Marshalls,29.7428056800702,-95.46144448298116,Department Store
East Downtown,29.75,-95.35,Cornelius Nursery,29.744307779614527,-95.50042369326914,Garden Center
East Downtown,29.75,-95.35,Sam's Club,29.72419938926226,-95.47079795175348,Warehouse Store
East Downtown,29.75,-95.35,Michaels,29.7398241754355,-95.50261214375496,Arts & Crafts Store
East Downtown,29.75,-95.35,H-E-B,29.7076528,-95.4698099,Grocery Store
East Downtown,29.75,-95.35,CVS pharmacy,29.74058424862417,-95.45759534402666,Pharmacy
East Downtown,29.75,-95.35,Petco,29.723633403217775,-95.44202018938026,Pet Store
East Downtown,29.75,-95.35,H-E-B,29.6886245,-95.4642329,Grocery Store
East Downtown,29.75,-95.35,Kroger,29.78932260971469,-95.41113406419754,Supermarket
East Downtown,29.75,-95.35,Academy Sports + Outdoors,29.739931306021663,-95.50377488136292,Sporting Goods Shop
